datetime,latitude,longitude,type,severity,zone
2025-08-18 00:48:47.009516,-8.035098575409664,-34.95723422673632,Agressão,3,Santo Amaro
2025-02-12 05:01:47.009516,-8.054147929035135,-34.92581155032338,Furto,2,Casa Forte
2024-12-05 20:53:47.009516,-8.03056934385698,-34.91240816600265,Furto,3,Centro
2025-09-06 21:44:47.009516,-8.00430910430776,-34.843369370279795,Roubo,4,Boa Viagem
2025-07-01 00:24:47.009516,-8.0570246012417,-34.883303406263984,Tráfico,5,Centro
2025-04-28 22:48:47.009516,-8.057024108708475,-34.940064447073,Agressão,4,Várzea
2024-11-11 04:01:47.009516,-8.002623615534779,-34.88541891131747,Roubo,5,Várzea
2025-06-10 16:48:47.009516,-8.026976958125413,-34.94641911966815,Roubo,4,Casa Forte
2025-07-09 04:32:47.009516,-8.064084231578049,-34.86751926838339,Furto,2,Santo Amaro
2025-08-23 20:21:47.009516,-8.033723198692421,-34.914133739554536,Tráfico,1,Santo Amaro
2025-04-27 05:15:47.009516,-8.063902530784375,-34.90280908566217,Agressão,3,Casa Forte
2025-07-23 06:38:47.009516,-8.063971892607109,-34.86022610057373,Agressão,1,Boa Viagem
2024-09-28 03:31:47.009516,-8.04274113185302,-34.93861490705753,Homicídio,3,Imbiribeira
2025-04-29 08:04:47.009516,-8.107398407339735,-34.94191354555339,Tráfico,1,Santo Amaro
2024-12-13 04:35:47.009516,-8.101747534975392,-34.91750797979038,Furto,3,Centro
2025-03-16 00:52:47.009516,-8.06686862587723,-34.86884863446942,Homicídio,4,Boa Viagem
2025-04-07 01:09:47.009516,-8.080384933610034,-34.9455803822643,Furto,2,Santo Amaro
2025-03-20 17:03:47.009516,-8.040572580022143,-34.984964667943316,Roubo,5,Casa Forte
2024-10-17 21:16:47.009516,-8.077240722265637,-34.91353476575227,Homicídio,4,Imbiribeira
2025-06-26 01:46:47.009516,-8.092369111040059,-34.88344777600267,Furto,4,Centro
2025-04-06 00:22:47.009516,-8.006030536932354,-34.86399214750784,Roubo,5,Casa Forte
2025-02-22 18:26:47.009516,-8.056773289014597,-34.91389484086256,Furto,1,Imbiribeira
2025-03-29 15:59:47.009516,-8.047974153859363,-34.91234279821348,Tráfico,3,Santo Amaro
2025-09-19 23:49:47.009516,-8.092742445586405,-34.865382977972324,Furto,4,Imbiribeira
2025-08-29 05:36:47.009516,-8.066331481735757,-34.956092250990864,Tráfico,4,Boa Viagem
2025-02-20 00:41:47.009516,-8.046672322308705,-34.91165562325549,Furto,1,Várzea
2025-01-22 01:11:47.009516,-8.084529807322669,-34.89428728330225,Roubo,4,Santo Amaro
2025-02-14 12:27:47.009516,-8.038729059449631,-34.88652343836145,Tráfico,3,Várzea
2025-03-30 03:10:47.009516,-8.068019160697565,-34.91529420079573,Agressão,5,Várzea
2025-03-25 04:29:47.009516,-8.058750812493798,-34.89896676964882,Tráfico,2,Várzea
2025-02-08 20:46:47.009516,-8.068051198366883,-34.97464982060239,Roubo,2,Santo Amaro
2025-09-09 17:51:47.009516,-7.994431654464733,-34.91974745237001,Tráfico,5,Afogados
2025-08-02 17:57:47.009516,-8.050404916742139,-34.886394738623366,Furto,5,Santo Amaro
2025-06-25 21:02:47.009516,-8.081731327868678,-34.92946882102764,Furto,5,Imbiribeira
2024-12-17 12:11:47.009516,-8.025323652636905,-34.898230473352314,Agressão,1,Boa Viagem
2025-02-10 18:31:47.009516,-8.086625309499132,-34.88659382497592,Tráfico,2,Centro
2025-07-07 05:30:47.009516,-8.043734092149858,-34.91027647602573,Furto,4,Casa Forte
2025-03-09 23:01:47.009516,-8.108790103716395,-34.8948860868701,Tráfico,1,Casa Forte
2024-10-11 08:12:47.009516,-8.089845581466953,-34.928881976958536,Homicídio,3,Afogados
2025-02-09 00:00:47.009516,-8.044094162923926,-34.90619833839088,Furto,5,Boa Viagem
2025-07-12 20:07:47.009516,-8.027846002600139,-34.88169351491232,Tráfico,4,Várzea
2025-01-11 18:18:47.009516,-8.0448589515643,-34.895290811170945,Furto,2,Várzea
2025-04-15 18:16:47.009516,-8.053469448471647,-34.91759593808692,Homicídio,4,Santo Amaro
2024-12-07 05:55:47.009516,-8.059033110867679,-34.89327350787128,Homicídio,1,Centro
2025-01-29 21:22:47.009516,-8.094355659711024,-34.8785617062809,Furto,4,Afogados
2025-06-27 06:34:47.009516,-8.071595326251842,-34.96149823835732,Homicídio,5,Várzea
2025-07-21 11:44:47.009516,-8.063819163128795,-34.86522777805132,Furto,2,Casa Forte
2025-07-20 10:10:47.009516,-8.018286333213434,-34.910087642160434,Roubo,2,Casa Forte
2025-01-15 02:19:47.009516,-8.039691451312947,-34.88723530200279,Agressão,2,Imbiribeira
2025-06-04 00:35:47.009516,-8.102891204660883,-34.86408259229064,Roubo,2,Casa Forte
2024-10-19 00:56:47.009516,-8.040277480918157,-34.94115021091691,Homicídio,1,Santo Amaro
2025-08-12 03:37:47.009516,-8.06155246841249,-34.921283230072824,Furto,1,Santo Amaro
2025-09-08 11:25:47.009516,-8.07030766000918,-34.90865646087627,Roubo,4,Várzea
2024-10-27 10:11:47.009516,-8.031649711334774,-34.92351260563373,Tráfico,1,Santo Amaro
2025-07-27 12:20:47.009516,-8.019070014325122,-34.847951902724894,Tráfico,2,Santo Amaro
2025-01-31 15:42:47.009516,-8.022061596426514,-34.925703162814806,Tráfico,3,Santo Amaro
2024-09-30 19:33:47.009516,-8.07517652569668,-34.9166664033846,Furto,4,Casa Forte
2024-11-22 19:43:47.009516,-8.059276371275537,-34.89386832905191,Homicídio,3,Centro
2025-06-26 06:36:47.009516,-8.040062097057893,-34.93606448578228,Furto,2,Casa Forte
2025-08-19 07:54:47.009516,-8.02073364618633,-34.91187042135269,Homicídio,3,Santo Amaro
2025-02-22 10:57:47.009516,-8.06437522713536,-34.89047640216249,Agressão,4,Imbiribeira
2025-05-14 22:33:47.009516,-8.055569769299915,-34.909985812131474,Furto,1,Boa Viagem
2025-02-06 14:35:47.009516,-8.083190049220182,-34.902801605766996,Agressão,2,Casa Forte
2024-12-25 14:45:47.009516,-8.08588619872242,-34.91587996337345,Furto,5,Imbiribeira
2024-11-18 18:06:47.009516,-8.025624225328174,-34.945434109275425,Agressão,4,Várzea
2025-08-18 14:25:47.009516,-8.009312799142876,-34.89035220365982,Agressão,1,Centro
2025-01-04 02:10:47.009516,-8.05216030364741,-34.84735200785058,Furto,3,Casa Forte
2024-12-16 15:36:47.009516,-8.01989401306324,-34.899447951076496,Roubo,2,Santo Amaro
2025-06-22 22:25:47.009516,-8.039150919248572,-34.89324207648257,Tráfico,5,Santo Amaro
2025-03-09 12:48:47.009516,-8.069353592638155,-34.87921831734649,Agressão,5,Boa Viagem
2024-11-21 09:43:47.009516,-8.039158131834748,-34.9380799148964,Tráfico,1,Afogados
2025-03-01 04:50:47.009516,-8.003858903006021,-34.84892456025611,Furto,3,Boa Viagem
2025-01-26 15:52:47.009516,-8.0510747811733,-34.893930136107315,Agressão,4,Afogados
2024-11-07 21:18:47.009516,-8.003060690325581,-34.85104429302733,Tráfico,4,Boa Viagem
2024-10-30 15:36:47.009516,-8.128592353122693,-34.92199098986572,Tráfico,5,Várzea
2024-11-28 02:29:47.009516,-8.025342924868744,-34.84545814232327,Homicídio,4,Imbiribeira
2025-05-26 14:57:47.009516,-8.047388587952856,-34.87674533517895,Roubo,2,Centro
2025-02-07 14:42:47.009516,-8.058970220513977,-34.88340879742443,Tráfico,2,Afogados
2025-08-01 11:00:47.009516,-8.047247176703936,-34.8929792663694,Furto,3,Afogados
2025-06-28 21:31:47.009516,-8.109627067438028,-34.907455858542235,Furto,1,Casa Forte
2025-01-05 20:06:47.009516,-8.056590156635126,-34.86398405024578,Homicídio,3,Boa Viagem
2025-04-17 19:28:47.009516,-8.039286622854648,-34.895789203904556,Tráfico,1,Afogados
2025-04-04 12:44:47.009516,-8.005663178657755,-34.95901209110761,Agressão,1,Afogados
2025-06-16 11:54:47.009516,-8.06554810654821,-34.93351559385121,Furto,1,Centro
2025-01-29 04:51:47.009516,-8.074254808086796,-34.90557537256578,Agressão,3,Imbiribeira
2025-03-16 22:24:47.009516,-8.065052711307537,-34.89070003050503,Furto,5,Centro
2025-07-05 05:24:47.009516,-8.022537936468938,-34.901697654667,Agressão,2,Várzea
2025-01-14 21:51:47.009516,-8.04013746671021,-34.86343087630619,Roubo,1,Santo Amaro
2025-09-22 17:50:47.009516,-8.065892806113013,-34.95853305592116,Tráfico,5,Centro
2025-01-20 00:44:47.009516,-8.0346019770066,-34.89569236190484,Roubo,3,Várzea
2024-10-11 07:51:47.009516,-8.04708767351956,-34.954539376761616,Roubo,2,Imbiribeira
2025-06-15 05:04:47.009516,-8.020940650284015,-34.877208631135474,Tráfico,3,Casa Forte
2025-09-02 13:00:47.009516,-8.07106159281632,-34.90283376143326,Agressão,4,Casa Forte
2025-06-28 02:33:47.009516,-8.059829864397933,-34.88741170083927,Roubo,5,Várzea
2025-07-14 16:17:47.009516,-8.061763244593966,-34.92591648881769,Tráfico,1,Várzea
2025-01-27 13:38:47.009516,-8.093905448443964,-34.861616052050266,Agressão,3,Afogados
2025-04-21 03:53:47.009516,-8.041116391688064,-34.868748260078235,Tráfico,1,Centro
2024-11-13 19:14:47.009516,-8.042168341834603,-34.88249367090964,Tráfico,5,Imbiribeira
2025-03-25 11:13:47.009516,-8.049846596300727,-34.903885517405904,Roubo,5,Centro
2025-05-22 20:50:47.009516,-8.057037614001255,-34.88260428144115,Tráfico,2,Afogados
2025-09-04 18:28:47.009516,-8.092461122261513,-34.92120677703962,Tráfico,4,Boa Viagem
2024-11-13 23:12:47.009516,-8.062619359682962,-34.874333330229376,Furto,4,Casa Forte
2025-03-17 01:02:47.009516,-8.060281435495805,-34.850515573170284,Roubo,3,Afogados
2025-01-01 04:21:47.009516,-8.07406831807665,-34.86788168320062,Agressão,3,Boa Viagem
2025-05-12 02:14:47.009516,-8.05483857134998,-34.92188807409422,Roubo,2,Boa Viagem
2024-12-27 06:16:47.009516,-8.037878474295564,-34.889157480481806,Tráfico,5,Várzea
2025-01-30 00:15:47.009516,-7.993414422963685,-34.93879424631276,Furto,5,Afogados
2025-07-03 00:50:47.009516,-8.044762665615046,-34.882828290664726,Furto,5,Santo Amaro
2025-08-24 15:40:47.009516,-8.042273488278317,-34.886481897614125,Homicídio,2,Várzea
2024-10-02 00:46:47.009516,-8.052233377472986,-34.95609449018596,Homicídio,1,Imbiribeira
2025-01-24 03:13:47.009516,-8.107563136458971,-34.93485351531737,Furto,4,Boa Viagem
2025-05-31 13:00:47.009516,-8.050795416263478,-34.90849416690231,Roubo,1,Casa Forte
2025-04-17 22:57:47.009516,-8.04819309370177,-34.909025792414226,Roubo,5,Várzea
2025-04-06 22:11:47.009516,-7.9761027366254424,-34.93628430806256,Tráfico,4,Boa Viagem
2025-02-07 12:05:47.009516,-8.055770828943434,-34.888330638119434,Homicídio,3,Casa Forte
2025-04-29 20:33:47.009516,-8.040953579729992,-34.892455791731784,Furto,2,Casa Forte
2025-07-06 19:32:47.009516,-8.051041353091158,-34.905828073959356,Tráfico,3,Santo Amaro
2025-06-01 01:59:47.009516,-8.085060341128587,-34.92267374500475,Agressão,2,Boa Viagem
2025-02-23 03:50:47.009516,-8.01571531556455,-34.8685387862075,Agressão,4,Afogados
2025-07-18 21:21:47.009516,-8.027442009019397,-34.85033778660735,Roubo,4,Imbiribeira
2024-10-26 21:07:47.009516,-8.026269041588709,-34.914506844515394,Tráfico,2,Boa Viagem
2024-10-23 23:24:47.009516,-8.077281623643843,-34.918365007514645,Tráfico,5,Centro
2025-05-27 14:45:47.009516,-8.007916170671917,-34.88526377003764,Furto,3,Centro
2025-06-23 02:50:47.009516,-8.09205553188377,-34.91074088139241,Tráfico,2,Várzea
2025-06-12 00:41:47.009516,-8.032394287185992,-34.904181916019894,Furto,1,Centro
2024-12-29 00:25:47.009516,-7.984286331225701,-34.87781040544826,Homicídio,5,Várzea
2024-10-29 19:42:47.009516,-8.079716089753921,-34.95728068262522,Tráfico,3,Afogados
2025-01-23 09:54:47.009516,-8.066988931888083,-34.860450930254416,Roubo,3,Centro
2025-07-13 05:24:47.009516,-8.047010459047371,-34.89781958427012,Roubo,5,Afogados
2025-07-25 23:26:47.009516,-8.065104269623486,-34.91234479433687,Tráfico,1,Santo Amaro
2024-11-05 11:29:47.009516,-8.096519902931984,-34.90267702462664,Homicídio,3,Várzea
2025-07-20 16:20:47.009516,-8.04794311075582,-34.90112711934938,Agressão,5,Santo Amaro
2025-03-05 06:00:47.009516,-8.081869111411784,-34.951936039103344,Roubo,4,Centro
2025-09-02 20:07:47.009516,-8.035792227080945,-34.8551518531764,Homicídio,2,Boa Viagem
2025-01-25 06:12:47.009516,-8.077582727027014,-34.89876023103188,Tráfico,4,Casa Forte
2024-12-01 19:28:47.009516,-8.003501967849475,-34.886709936086575,Homicídio,3,Casa Forte
2025-02-25 12:07:47.009516,-8.073497598770087,-34.87145350688278,Agressão,4,Centro
2024-10-31 22:16:47.009516,-8.05966184548617,-34.93063487372681,Agressão,1,Boa Viagem
2025-08-09 15:53:47.009516,-8.02559448347891,-34.885795843028944,Agressão,3,Imbiribeira
2024-11-01 15:00:47.009516,-8.08692592949302,-34.90802923272696,Furto,2,Várzea
2025-06-11 05:55:47.009516,-8.043176201961877,-34.8745968767435,Roubo,2,Imbiribeira
2025-03-22 00:43:47.009516,-8.010785717371528,-34.963816822610546,Agressão,2,Boa Viagem
